"Date","Price","Open","High","Low","Change %"
"Jul 05, 2013","1.2832","1.2913","1.2918","1.2807","-0.63"
"Jul 08, 2013","1.2870","1.2825","1.2883","1.2809","0.30"
"Jul 09, 2013","1.2781","1.2870","1.2899","1.2755","-0.69"
"Jul 10, 2013","1.2976","1.2781","1.2985","1.2765","1.53"
"Jul 11, 2013","1.3096","1.2980","1.3204","1.2965","0.92"
"Jul 12, 2013","1.3068","1.3097","1.3103","1.3000","-0.21"
"Jul 15, 2013","1.3062","1.3066","1.3085","1.2994","-0.05"
"Jul 16, 2013","1.3162","1.3062","1.3175","1.3052","0.77"
"Jul 17, 2013","1.3125","1.3161","1.3177","1.3084","-0.28"
"Jul 18, 2013","1.3110","1.3125","1.3128","1.3066","-0.11"
"Jul 19, 2013","1.3142","1.3110","1.3154","1.3087","0.24"
"Jul 22, 2013","1.3186","1.3142","1.3220","1.3131","0.33"
"Jul 23, 2013","1.3224","1.3186","1.3241","1.3165","0.29"
"Jul 24, 2013","1.3201","1.3222","1.3256","1.3176","-0.17"
"Jul 25, 2013","1.3277","1.3199","1.3296","1.3165","0.58"
"Jul 26, 2013","1.3279","1.3277","1.3297","1.3252","0.02"
"Jul 29, 2013","1.3262","1.3276","1.3297","1.3241","-0.13"
"Jul 30, 2013","1.3263","1.3262","1.3302","1.3234","0.01"
"Jul 31, 2013","1.3302","1.3264","1.3346","1.3215","0.29"
"Aug 01, 2013","1.3207","1.3301","1.3311","1.3197","-0.71"
"Aug 02, 2013","1.3283","1.3207","1.3295","1.3190","0.58"
"Aug 05, 2013","1.3258","1.3274","1.3302","1.3232","-0.19"
"Aug 06, 2013","1.3306","1.3258","1.3325","1.3245","0.36"
"Aug 07, 2013","1.3337","1.3307","1.3347","1.3266","0.23"
"Aug 08, 2013","1.3382","1.3338","1.3403","1.3329","0.34"
"Aug 09, 2013","1.3343","1.3380","1.3391","1.3333","-0.29"
"Aug 12, 2013","1.3300","1.3340","1.3346","1.3278","-0.32"
"Aug 13, 2013","1.3262","1.3299","1.3317","1.3233","-0.29"
"Aug 14, 2013","1.3256","1.3262","1.3279","1.3239","-0.05"
"Aug 15, 2013","1.3348","1.3256","1.3365","1.3207","0.69"
"Aug 16, 2013","1.3329","1.3346","1.3380","1.3310","-0.14"
"Aug 19, 2013","1.3335","1.3328","1.3376","1.3316","0.05"
"Aug 20, 2013","1.3417","1.3336","1.3453","1.3323","0.61"
"Aug 21, 2013","1.3357","1.3416","1.3428","1.3335","-0.45"
"Aug 22, 2013","1.3356","1.3355","1.3375","1.3299","-0.01"
"Aug 23, 2013","1.3382","1.3356","1.3410","1.3333","0.19"
"Aug 26, 2013","1.3369","1.3382","1.3394","1.3356","-0.10"
"Aug 27, 2013","1.3393","1.3368","1.3400","1.3324","0.18"
"Aug 28, 2013","1.3340","1.3393","1.3399","1.3306","-0.40"
"Aug 29, 2013","1.3241","1.3339","1.3344","1.3219","-0.74"
"Aug 30, 2013","1.3222","1.3243","1.3256","1.3175","-0.14"
"Sep 02, 2013","1.3192","1.3234","1.3238","1.3184","-0.23"
"Sep 03, 2013","1.3170","1.3191","1.3198","1.3138","-0.17"
"Sep 04, 2013","1.3209","1.3171","1.3220","1.3156","0.30"
"Sep 05, 2013","1.3120","1.3207","1.3223","1.3110","-0.67"
"Sep 06, 2013","1.3180","1.3119","1.3189","1.3104","0.46"
"Sep 09, 2013","1.3255","1.3169","1.3281","1.3159","0.57"
"Sep 10, 2013","1.3268","1.3255","1.3276","1.3230","0.10"
"Sep 11, 2013","1.3312","1.3270","1.3327","1.3245","0.33"
"Sep 12, 2013","1.3299","1.3310","1.3326","1.3261","-0.10"
"Sep 13, 2013","1.3294","1.3299","1.3323","1.3255","-0.04"
"Sep 16, 2013","1.3334","1.3306","1.3386","1.3296","0.30"
"Sep 17, 2013","1.3359","1.3334","1.3371","1.3326","0.19"
"Sep 18, 2013","1.3522","1.3359","1.3542","1.3338","1.22"
"Sep 19, 2013","1.3530","1.3521","1.3569","1.3500","0.06"
"Sep 20, 2013","1.3524","1.3531","1.3550","1.3498","-0.04"
"Sep 23, 2013","1.3493","1.3546","1.3556","1.3479","-0.23"
"Sep 24, 2013","1.3474","1.3493","1.3519","1.3464","-0.14"
"Sep 25, 2013","1.3526","1.3473","1.3538","1.3461","0.39"
"Sep 26, 2013","1.3489","1.3526","1.3529","1.3471","-0.27"
"Sep 27, 2013","1.3522","1.3487","1.3565","1.3473","0.24"
"Sep 30, 2013","1.3526","1.3480","1.3557","1.3468","0.03"
"Oct 01, 2013","1.3526","1.3528","1.3590","1.3517","0.00"
"Oct 02, 2013","1.3579","1.3527","1.3609","1.3509","0.39"
"Oct 03, 2013","1.3618","1.3577","1.3646","1.3576","0.29"
"Oct 04, 2013","1.3558","1.3618","1.3632","1.3538","-0.44"
"Oct 07, 2013","1.3582","1.3556","1.3592","1.3542","0.18"
"Oct 08, 2013","1.3573","1.3583","1.3609","1.3558","-0.07"
"Oct 09, 2013","1.3524","1.3573","1.3605","1.3486","-0.36"
"Oct 10, 2013","1.3520","1.3524","1.3546","1.3488","-0.03"
"Oct 11, 2013","1.3542","1.3519","1.3582","1.3517","0.16"
"Oct 14, 2013","1.3561","1.3544","1.3598","1.3542","0.14"
"Oct 15, 2013","1.3523","1.3561","1.3571","1.3479","-0.28"
"Oct 16, 2013","1.3535","1.3523","1.3567","1.3472","0.09"
"Oct 17, 2013","1.3676","1.3535","1.3681","1.3514","1.04"
"Oct 18, 2013","1.3685","1.3674","1.3704","1.3659","0.07"
"Oct 21, 2013","1.3683","1.3687","1.3691","1.3651","-0.01"
"Oct 22, 2013","1.3781","1.3683","1.3794","1.3662","0.72"
"Oct 23, 2013","1.3777","1.3784","1.3794","1.3741","-0.03"
"Oct 24, 2013","1.3800","1.3776","1.3826","1.3764","0.17"
"Oct 25, 2013","1.3805","1.3801","1.3833","1.3774","0.04"
"Oct 28, 2013","1.3784","1.3803","1.3817","1.3775","-0.15"
"Oct 29, 2013","1.3746","1.3784","1.3813","1.3735","-0.28"
"Oct 30, 2013","1.3736","1.3745","1.3785","1.3696","-0.07"
"Oct 31, 2013","1.3584","1.3737","1.3740","1.3577","-1.11"
"Nov 01, 2013","1.3487","1.3584","1.3592","1.3481","-0.71"
"Nov 04, 2013","1.3516","1.3489","1.3527","1.3443","0.22"
"Nov 05, 2013","1.3474","1.3514","1.3523","1.3449","-0.31"
"Nov 06, 2013","1.3512","1.3476","1.3550","1.3468","0.28"
"Nov 07, 2013","1.3420","1.3514","1.3529","1.3296","-0.68"
"Nov 08, 2013","1.3371","1.3420","1.3439","1.3317","-0.37"
"Nov 11, 2013","1.3407","1.3361","1.3417","1.3344","0.27"
"Nov 12, 2013","1.3436","1.3407","1.3457","1.3359","0.22"
